Rank,City ,City_russian,Federal_subject,Federal_district ,Population_2020,Population_2010,Population_growth
90,Veliky Novgorod,??????? ????????, Novgorod Oblast,Northwest,"224,936","218,717",2.84%
91,Angarsk,???????, Irkutsk Oblast,Siberia,"224,630","233,567",?3.83%
92,Stary Oskol,?????? ?????, Belgorod Oblast,Central,"223,921","221,085",1.28%
93,Pskov,?????, Pskov Oblast,Northwest,"210,340","203,279",3.47%
94,Lyubertsy,???????, Moscow Oblast,Central,"205,295","172,525",18.99%
95,Yuzhno-Sakhalinsk,????-?????????, Sakhalin Oblast,Far East,"200,636","181,728",10.40%
96,Biysk,?????, Altai Krai,Siberia,"199,464","210,115",?5.07%
97,Prokopyevsk,???????????, Kemerovo Oblast,Siberia,"190,334","210,130",?9.42%
98,Armavir,???????, Krasnodar Krai,South,"188,960","188,832",0.07%
99,Balakovo,????????, Saratov Oblast,Volga,"187,523","199,690",?6.09%
100,Abakan,??????, Republic of Khakassia,Siberia,"186,797","165,214",13.06%
101,Rybinsk,???????, Yaroslavl Oblast,Central,"184,635","200,771",?8.04%
102,Severodvinsk,????????????, Arkhangelsk Oblast,Northwest,"181,990","192,353",?5.39%
103,Norilsk,????????, Krasnoyarsk Krai,Siberia,"181,830","175,365",3.69%
104,Petropavlovsk-Kamchatsky,?????????????-??????????, Kamchatka Krai,Far East,"179,586","179,780",?0.11%
105,Krasnogorsk,???????????, Moscow Oblast,Central,"175,554","116,896",50.18%
106,Ussuriysk,?????????, Primorsky Krai,Far East,"173,640","158,004",9.90%
107,Volgodonsk,??????????, Rostov Oblast,South,"171,406","170,841",0.33%
108,Novocherkassk,????????????, Rostov Oblast,South,"168,035","168,746",?0.42%
109,Syzran,???????, Samara Oblast,Volga,"167,160","178,750",?6.48%
110,Kamensk-Uralsky,???????-?????????, Sverdlovsk Oblast,Ural,"166,086","174,689",?4.92%
111,Zlatoust,????????, Chelyabinsk Oblast,Ural,"163,919","174,962",?6.31%
112,Almetyevsk,???????????, Republic of Tatarstan,Volga,"158,429","146,393",8.22%
113,Elektrostal,????????????, Moscow Oblast,Central,"156,026","155,196",0.53%
—,Kerch,?????, Republic of Crimea [a],South,"151,548","157,007",?3.48% [b]
114,Miass,?????, Chelyabinsk Oblast,Ural,"151,472","151,751",?0.18%
115,Salavat,???????, Republic of Bashkortostan,Volga,"150,500","156,095",?3.58%
116,Pyatigorsk,?????????, Stavropol Krai,North Caucasus,"147,861","142,511",3.75%
117,Kopeysk,???????, Chelyabinsk Oblast,Ural,"147,634","137,601",7.29%
118,Nakhodka,???????, Primorsky Krai,Far East,"145,159","159,719",?9.12%
119,Khasavyurt,????????, Republic of Dagestan,North Caucasus,"145,109","131,187",10.61%
120,Rubtsovsk,????????, Altai Krai,Siberia,"141,584","147,002",?3.69%
121,Maykop,??????, Republic of Adygea,South,"141,475","144,249",?1.92%
122,Kolomna,???????, Moscow Oblast,Central,"140,129","144,589",?3.08%
123,Berezniki,?????????, Perm Krai,Volga,"139,209","156,466",?11.03%
124,Domodedovo,??????????, Moscow Oblast,Central,"137,160","96,145",42.66%
125,Kovrov,??????, Vladimir Oblast,Central,"135,715","145,214",?6.54%
126,Odintsovo,????????, Moscow Oblast,Central,"135,506","138,930",?2.46%
127,Neftekamsk,??????????, Republic of Bashkortostan,Volga,"131,138","121,733",7.73%
128,Kislovodsk,??????????, Stavropol Krai,North Caucasus,"128,779","128,553",0.18%
129,Bataysk,???????, Rostov Oblast,South,"127,919","111,843",14.37%
130,Nefteyugansk,???????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,"127,255","122,855",3.58%
131,Novocheboksarsk,??????????????, Chuvash Republic,Volga,"127,226","124,097",2.52%
132,Serpukhov,????????, Moscow Oblast,Central,"126,273","127,041",?0.60%
133,Shchyolkovo,???????, Moscow Oblast,Central,"126,109","110,411",14.22%
134,Derbent,???????, Republic of Dagestan,North Caucasus,"125,832","119,200",5.56%
135,Kaspiysk,????????, Republic of Dagestan,North Caucasus,"123,988","100,129",23.83%
136,Cherkessk,????????, Karachay-Cherkess Republic,North Caucasus,"123,168","129,069",?4.57%
137,Novomoskovsk,????????????, Tula Oblast,Central,"122,306","131,386",?6.91%
138,Nazran,???????, Republic of Ingushetia,North Caucasus,"122,261","93,335",30.99%
139,Ramenskoye,?????????, Moscow Oblast,Central,"121,908","96,317",26.57%
140,Pervouralsk,????????????, Sverdlovsk Oblast,Ural,"120,778","124,528",?3.01%
141,Kyzyl,?????, Tuva Republic,Siberia,"119,438","109,918",8.66%
142,Orekhovo-Zuyevo,???????-?????, Moscow Oblast,Central,"118,309","120,670",?1.96%
143,Novy Urengoy,????? ???????, Yamalo-Nenets Autonomous Okrug,Ural,"118,033","104,107",13.38%
144,Obninsk,???????, Kaluga Oblast,Central,"117,419","104,739",12.11%
145,Nevinnomyssk,????????????, Stavropol Krai,North Caucasus,"116,751","118,360",?1.36%
146,Dolgoprudny,????????????, Moscow Oblast,Central,"116,038","90,956",27.58%
147,Oktyabrsky,???????????, Republic of Bashkortostan,Volga,"114,100","109,474",4.23%
148,Dimitrovgrad,????????????, Ulyanovsk Oblast,Volga,"113,472","122,580",?7.43%
149,Yessentuki,?????????, Stavropol Krai,North Caucasus,"113,056","100,996",11.94%
150,Kamyshin,???????, Volgograd Oblast,South,"109,910","119,565",?8.08%
—,Yevpatoria,?????????, Republic of Crimea [a],South,"108,248","105,915",+2.20% [b]
151,Reutov,??????, Moscow Oblast,Central,"108,054","87,314",23.75%
152,Pushkino,???????, Moscow Oblast,Central,"107,580","102,874",4.57%
153,Zhukovsky,?????????, Moscow Oblast,Central,"107,560","104,736",2.70%
154,Murom,?????, Vladimir Oblast,Central,"106,984","116,075",?7.83%
155,Noyabrsk,????????, Yamalo-Nenets Autonomous Okrug,Ural,"106,911","110,620",?3.35%
156,Novoshakhtinsk,????????????, Rostov Oblast,South,"106,534","111,075",?4.09%
157,Seversk,???????, Tomsk Oblast,Siberia,"106,516","108,590",?1.91%
158,Artyom,?????, Primorsky Krai,Far East,"105,675","102,603",2.99%
159,Achinsk,??????, Krasnoyarsk Krai,Siberia,"105,531","109,155",?3.32%
160,Berdsk,??????, Novosibirsk Oblast,Siberia,"104,334","97,296",7.23%
161,Arzamas,???????, Nizhny Novgorod Oblast,Volga,"103,979","106,362",?2.24%
162,Noginsk,???????, Moscow Oblast,Central,"103,967","100,072",3.89%
163,Elista,??????, Republic of Kalmykia,South,"103,122","103,749",?0.60%
164,Yelets,????, Lipetsk Oblast,Central,"102,313","108,404",?5.62%
165,Khanty-Mansiysk,?????-????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,"101,466","80,151",26.59%
166,Novokuybyshevsk,??????????????, Samara Oblast,Volga,"100,455","108,438",?7.36%
